region,date,accuracy,precision,recall,f1_score,roc_auc,support
korea,2024-11-07,1.0000,1.0000,1.0000,1.0000,,2
korea,2024-11-10,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-11-11,0.5000,0.5000,1.0000,0.6667,0.5000,2
korea,2024-11-15,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-11-18,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-11-19,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-11-22,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-11-24,0.7500,0.7500,1.0000,0.8571,0.5000,4
korea,2024-12-04,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-09,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-10,0.6667,0.6667,1.0000,0.8000,0.7500,3
korea,2024-12-12,0.6667,0.6667,1.0000,0.8000,0.2500,3
korea,2024-12-14,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-15,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-19,0.7500,0.7500,1.0000,0.8571,0.1667,4
korea,2024-12-24,0.5000,0.5000,1.0000,0.6667,0.5000,2
korea,2024-12-26,0.7500,0.7500,1.0000,0.8571,0.8333,4
korea,2024-12-29,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-30,1.0000,1.0000,1.0000,1.0000,,1
korea,2024-12-31,0.5000,0.5000,1.0000,0.6667,0.5000,2
korea,2025-01-01,0.8000,0.8000,1.0000,0.8889,0.6250,5
korea,2025-01-02,0.6667,0.6667,1.0000,0.8000,0.7500,3
korea,2025-01-03,1.0000,1.0000,1.0000,1.0000,,3
korea,2025-01-04,0.8000,0.8000,1.0000,0.8889,0.8750,5
korea,2025-01-10,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-01-11,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-01-12,1.0000,1.0000,1.0000,1.0000,,2
korea,2025-01-19,0.5000,0.5000,1.0000,0.6667,0.5000,2
korea,2025-01-23,1.0000,1.0000,1.0000,1.0000,,2
korea,2025-01-24,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-01-25,0.5000,0.5000,1.0000,0.6667,0.5000,8
korea,2025-01-26,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-08,0.6667,0.6667,1.0000,0.8000,0.2500,6
korea,2025-03-09,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-10,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-11,0.6000,0.6000,1.0000,0.7500,0.6667,5
korea,2025-03-13,1.0000,1.0000,1.0000,1.0000,,5
korea,2025-03-17,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-18,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-20,1.0000,1.0000,1.0000,1.0000,,2
korea,2025-03-21,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-22,0.7500,0.7500,1.0000,0.8571,0.6481,12
korea,2025-03-23,0.6667,0.6667,1.0000,0.8000,0.4722,9
korea,2025-03-27,1.0000,1.0000,1.0000,1.0000,,1
korea,2025-03-29,0.6667,0.6667,1.0000,0.8000,0.2500,3
korea,2025-03-30,0.6000,0.6000,1.0000,0.7500,0.5000,5
korea,2025-03-31,0.7500,0.7500,1.0000,0.8571,0.8333,4
korea,AVERAGE,0.7656,0.7656,1.0000,0.8567,0.3921,128
